task_id,latitude,longitude,profit,duration,extra_attr
103,24.6172,131.4415,7.0,16.0,9.0
104,27.2954,126.6684,3.0,26.0,9.0
105,9.1379,96.6583,2.0,28.0,8.0
106,46.437,118.2783,4.0,19.0,9.0
107,10.7889,102.066,7.0,21.0,6.0
108,4.587,117.7146,10.0,22.0,8.0
109,28.3599,129.8861,2.0,28.0,9.0
110,35.5234,103.5883,2.0,23.0,5.0
111,40.9666,121.7096,9.0,29.0,5.0
112,52.7798,129.3761,7.0,15.0,7.0
113,3.0866,90.6093,3.0,23.0,8.0
114,50.3955,106.6789,5.0,27.0,9.0
115,40.0332,98.2894,3.0,29.0,9.0
116,11.7328,101.9385,7.0,15.0,7.0
117,20.9467,86.1441,7.0,16.0,5.0
118,20.1975,103.5884,10.0,18.0,8.0
119,7.6069,115.6068,10.0,29.0,7.0
120,13.6855,95.163,2.0,17.0,6.0
121,7.4576,113.5445,3.0,24.0,9.0
122,19.892,122.3264,2.0,17.0,7.0
123,28.6643,126.9207,5.0,23.0,9.0
124,42.1332,84.0746,9.0,22.0,9.0
125,24.9052,91.8114,2.0,18.0,9.0
126,4.5275,99.9529,2.0,22.0,8.0
127,43.2637,92.9079,5.0,24.0,6.0
128,37.1597,106.2361,6.0,17.0,9.0
129,29.0922,93.5643,6.0,25.0,5.0
130,12.673,82.7952,5.0,17.0,8.0
131,4.4567,126.866,4.0,19.0,6.0
132,41.7815,100.4195,8.0,26.0,8.0
133,47.4313,93.3998,2.0,22.0,5.0
134,12.0744,87.1612,7.0,19.0,6.0
135,14.4364,73.3306,3.0,22.0,6.0
136,7.7683,108.8004,7.0,15.0,7.0
137,46.3648,90.3142,10.0,28.0,6.0
138,48.3754,73.5003,4.0,21.0,7.0
139,14.3101,120.2858,9.0,21.0,9.0
140,12.0924,121.6314,8.0,24.0,7.0
141,50.8721,126.1658,3.0,29.0,7.0
142,4.1812,97.1403,2.0,16.0,8.0
143,11.9479,96.7568,7.0,19.0,9.0
144,33.0028,101.3612,3.0,19.0,8.0
145,11.6575,122.6977,8.0,26.0,6.0
146,25.0316,108.9807,10.0,24.0,7.0
147,17.2421,132.43,5.0,23.0,5.0
148,52.06,93.3778,1.0,21.0,5.0
149,28.2584,127.9202,4.0,26.0,9.0
150,44.5128,100.822,7.0,23.0,8.0
151,38.458,104.3876,2.0,28.0,8.0
152,9.4573,78.8905,2.0,23.0,7.0
153,24.1972,119.9642,8.0,23.0,6.0
154,12.4229,123.4162,5.0,17.0,9.0
155,16.0213,73.6341,3.0,18.0,6.0
156,15.8907,77.4409,3.0,29.0,8.0
157,51.8467,73.2362,2.0,29.0,7.0
158,41.0857,79.2323,8.0,26.0,5.0
159,47.1512,119.6863,9.0,15.0,6.0
160,39.1216,93.6897,10.0,22.0,7.0
161,52.4993,91.2628,5.0,26.0,6.0
162,37.9296,92.1544,9.0,23.0,7.0
163,5.7566,79.8635,9.0,27.0,6.0
164,24.0004,121.3535,8.0,17.0,7.0
165,7.2293,75.7079,7.0,16.0,9.0
166,27.116,131.2137,4.0,27.0,7.0
167,48.6493,106.2122,6.0,23.0,6.0
168,36.6277,85.7546,2.0,23.0,7.0
169,25.1237,107.1567,1.0,19.0,6.0
170,41.4316,130.5195,9.0,26.0,8.0
171,48.827,84.334,6.0,29.0,8.0
172,50.2427,85.4154,4.0,27.0,5.0
173,39.4182,101.6913,4.0,16.0,5.0
174,28.0797,105.0692,10.0,23.0,5.0
175,13.3715,86.1963,1.0,23.0,7.0
176,28.7654,119.2524,2.0,28.0,5.0
177,29.1831,84.9106,7.0,18.0,9.0
178,39.2042,106.3827,7.0,27.0,9.0
179,26.2815,93.9423,3.0,23.0,6.0
180,51.2143,99.5894,3.0,19.0,6.0
181,14.7073,98.4646,4.0,24.0,7.0
182,37.83,109.0041,4.0,22.0,7.0
183,11.6991,92.5558,9.0,26.0,7.0
184,29.4927,88.3737,9.0,18.0,7.0
185,50.2608,116.195,3.0,24.0,9.0
186,45.9196,112.362,7.0,20.0,6.0
187,6.6076,103.0159,3.0,23.0,8.0
188,7.9626,104.9348,4.0,25.0,7.0
189,9.2008,77.2391,10.0,18.0,5.0
190,9.985,108.5135,1.0,17.0,6.0
191,38.4029,85.1172,8.0,28.0,5.0
192,28.7115,121.1842,4.0,26.0,9.0
193,5.0284,85.79,5.0,18.0,6.0
194,36.6859,116.7389,8.0,29.0,5.0
195,52.8804,107.9302,8.0,25.0,7.0
196,46.7282,101.4767,1.0,23.0,9.0
197,16.325,103.8378,5.0,15.0,7.0
198,46.5099,110.957,6.0,22.0,7.0
199,17.8091,118.1873,9.0,25.0,5.0
200,48.5425,121.7698,9.0,28.0,6.0
201,23.5359,110.2782,4.0,16.0,8.0
202,9.2944,104.7724,8.0,20.0,9.0
203,4.9809,87.2591,6.0,29.0,7.0
204,29.3302,84.2015,2.0,26.0,9.0
205,5.055,85.4651,10.0,23.0,6.0
206,15.2243,124.0272,5.0,23.0,8.0
207,6.0867,107.0074,2.0,19.0,7.0
208,35.2598,98.6599,1.0,21.0,8.0
209,20.033,88.8305,4.0,22.0,9.0
210,5.9265,122.0079,9.0,18.0,9.0
211,39.2079,74.7548,4.0,16.0,6.0
212,13.1484,76.7594,4.0,28.0,5.0
213,16.7718,131.0911,6.0,26.0,9.0
214,26.6414,129.5996,5.0,21.0,7.0
215,7.947,119.7036,6.0,15.0,7.0
216,41.8629,113.6753,6.0,24.0,6.0
217,24.3844,108.7131,4.0,24.0,6.0
218,4.6244,101.3634,5.0,29.0,5.0
219,32.127,105.7182,9.0,18.0,6.0
220,21.6237,104.825,2.0,25.0,7.0
221,8.7601,94.1598,4.0,27.0,6.0
222,50.2883,130.8301,3.0,25.0,8.0
223,29.2522,97.9538,6.0,22.0,8.0
224,37.0108,92.5995,1.0,21.0,6.0
225,3.0053,73.3276,5.0,19.0,7.0
226,30.6819,105.5318,10.0,27.0,6.0
227,15.3421,130.9619,3.0,17.0,5.0
228,6.7512,118.6796,3.0,19.0,5.0
229,6.4327,120.6744,6.0,17.0,7.0
230,11.3322,76.2799,4.0,21.0,5.0
231,5.2908,78.7255,5.0,20.0,5.0
232,8.4871,74.872,4.0,18.0,7.0
233,23.1784,79.3012,7.0,20.0,7.0
234,30.9506,87.5622,4.0,21.0,7.0
235,48.9445,76.5353,1.0,20.0,9.0
236,13.2766,124.0048,4.0,25.0,6.0
237,27.9486,78.4338,8.0,26.0,9.0
238,10.5708,110.3665,2.0,16.0,8.0
239,5.1912,102.7962,2.0,27.0,6.0
240,51.1817,97.5961,1.0,23.0,6.0
241,49.197,109.9817,8.0,29.0,5.0
242,52.3447,116.2535,6.0,22.0,8.0
243,15.9831,91.009,2.0,15.0,8.0
244,18.6503,95.1349,2.0,22.0,7.0
245,49.8119,81.2349,2.0,25.0,6.0
246,24.1143,85.0889,10.0,29.0,8.0
247,42.7799,89.5411,4.0,21.0,7.0
248,47.1306,82.0693,9.0,24.0,6.0
249,24.5262,81.6765,2.0,20.0,7.0
250,40.1837,101.4351,10.0,18.0,5.0
251,32.7359,125.5975,8.0,17.0,5.0
252,42.3346,126.4668,9.0,23.0,5.0
253,42.2706,116.3486,2.0,25.0,6.0
254,52.1989,124.2459,4.0,23.0,8.0
255,11.0926,117.7993,4.0,18.0,6.0
256,42.5815,118.7411,8.0,17.0,7.0
257,50.4184,130.4491,3.0,27.0,9.0
258,48.9487,80.5956,8.0,19.0,8.0
259,52.5749,106.6824,1.0,22.0,6.0
260,38.4023,98.8937,4.0,15.0,6.0
261,47.4789,128.5093,10.0,22.0,9.0
262,45.4031,113.2805,7.0,28.0,7.0
263,4.217,117.7104,1.0,17.0,9.0
264,44.3964,127.8889,2.0,26.0,7.0
265,45.8692,105.3427,5.0,28.0,8.0
266,33.0239,89.392,4.0,29.0,9.0
267,21.0035,117.6683,1.0,28.0,7.0
268,4.1607,100.2412,4.0,28.0,6.0
269,15.3816,87.041,10.0,28.0,8.0
270,15.3163,98.0973,1.0,23.0,5.0
271,42.6616,114.8,6.0,21.0,9.0
272,20.5266,74.106,1.0,27.0,7.0
273,31.7432,114.5845,1.0,15.0,6.0
274,16.9935,123.4233,7.0,24.0,7.0
275,21.6954,132.7091,2.0,20.0,8.0
276,34.1684,110.891,2.0,19.0,7.0
277,12.1095,116.631,1.0,28.0,6.0
278,36.1702,91.2868,3.0,16.0,7.0
279,3.239,109.2921,10.0,20.0,6.0
280,30.7278,85.8747,4.0,22.0,9.0
281,23.2968,121.1765,8.0,29.0,9.0
282,42.904,91.8885,2.0,26.0,8.0
283,38.9508,115.8105,5.0,18.0,7.0
284,45.384,120.351,9.0,25.0,5.0
285,51.7545,118.455,1.0,17.0,8.0
286,41.452,112.1338,2.0,15.0,6.0
287,23.4395,79.9649,7.0,20.0,9.0
288,21.9624,119.6092,7.0,29.0,5.0
289,20.4298,103.7508,5.0,21.0,5.0
290,17.5636,93.8891,3.0,27.0,7.0
291,41.2687,103.7697,6.0,20.0,9.0
292,35.4176,112.2259,9.0,20.0,9.0
293,10.2925,88.6809,5.0,22.0,5.0
294,33.1467,92.8118,1.0,21.0,9.0
295,6.543,122.8143,5.0,23.0,8.0
296,26.1288,92.5128,7.0,16.0,6.0
297,24.0444,122.2672,9.0,23.0,8.0
298,47.7981,119.2327,9.0,22.0,5.0
299,39.2741,99.4511,1.0,17.0,8.0
300,7.3624,73.7064,3.0,20.0,9.0
301,51.0538,127.1117,7.0,29.0,5.0
302,49.7568,129.8335,5.0,23.0,6.0
303,19.157,104.9533,4.0,29.0,9.0
304,19.2365,114.6303,10.0,25.0,5.0
305,44.6195,124.1035,2.0,21.0,9.0
306,34.5005,114.4954,8.0,27.0,7.0
307,25.5402,128.5772,6.0,16.0,8.0
308,28.9513,123.5696,9.0,23.0,6.0
309,50.4369,83.2473,10.0,18.0,8.0
310,12.6463,100.4224,7.0,17.0,8.0
311,22.6704,90.6602,10.0,18.0,9.0
312,8.4676,100.5449,9.0,17.0,6.0
313,15.1772,79.316,9.0,16.0,8.0
314,22.8427,97.5941,9.0,19.0,5.0
315,27.0952,81.9448,5.0,20.0,6.0
316,36.08,109.5946,2.0,26.0,5.0
317,11.6485,105.3921,6.0,16.0,7.0
318,10.8233,115.5513,2.0,18.0,9.0
319,5.9973,115.4024,8.0,18.0,7.0
320,45.1735,75.3125,7.0,23.0,8.0
321,42.1512,82.9648,3.0,15.0,6.0
322,15.2165,128.3708,5.0,29.0,8.0
323,27.972,113.528,2.0,29.0,8.0
324,38.1839,132.7202,7.0,24.0,7.0
325,37.3832,82.1414,8.0,21.0,6.0
326,41.7598,126.3611,5.0,27.0,7.0
327,34.1529,74.4293,4.0,15.0,9.0
328,3.3445,103.1662,8.0,27.0,5.0
329,14.681,118.4465,10.0,23.0,8.0
330,22.2239,116.5156,3.0,22.0,9.0
331,45.4067,98.2159,10.0,16.0,5.0
332,34.5334,117.4633,7.0,25.0,9.0
333,20.7489,78.3971,7.0,20.0,6.0
334,26.781,112.4489,6.0,16.0,9.0
335,13.0454,81.691,7.0,23.0,7.0
336,49.5112,107.5124,6.0,25.0,5.0
337,5.4968,95.1919,1.0,28.0,8.0
338,13.1397,127.356,5.0,29.0,6.0
339,16.2918,122.041,2.0,15.0,6.0
340,10.1834,96.8865,6.0,18.0,5.0
341,39.3499,109.4702,8.0,23.0,6.0
342,38.1642,123.6594,8.0,23.0,7.0
343,5.7731,73.999,7.0,23.0,9.0
344,52.2557,82.6763,7.0,26.0,9.0
345,31.4844,113.083,4.0,27.0,9.0
346,22.1779,81.4696,4.0,18.0,9.0
347,29.6057,93.2328,4.0,23.0,6.0
348,25.105,122.731,4.0,24.0,9.0
349,20.9235,91.783,8.0,21.0,7.0
350,15.4592,86.206,1.0,17.0,8.0
351,52.1198,112.716,7.0,20.0,9.0
352,5.9473,118.0871,3.0,25.0,9.0
353,31.1062,109.8566,4.0,24.0,5.0
354,38.9125,100.0366,2.0,19.0,7.0
355,10.8131,103.559,3.0,28.0,5.0
356,15.8318,85.2234,10.0,19.0,8.0
357,11.1729,130.3663,2.0,22.0,6.0
358,46.509,129.7161,4.0,26.0,5.0
359,37.5325,81.1128,3.0,26.0,7.0
360,40.2096,112.4175,3.0,19.0,7.0
361,42.9287,128.388,4.0,25.0,7.0
362,26.654,119.834,5.0,20.0,9.0
363,45.7612,102.0006,10.0,28.0,9.0
364,33.3009,78.0173,3.0,19.0,8.0
365,41.6491,115.2082,3.0,18.0,6.0
366,4.0525,119.346,6.0,21.0,9.0
367,32.9839,127.2828,3.0,27.0,7.0
368,15.0162,90.3111,4.0,15.0,9.0
369,7.4807,109.5731,10.0,28.0,5.0
370,13.3653,85.799,4.0,29.0,6.0
371,36.0286,93.0731,7.0,22.0,5.0
372,7.7552,115.4952,6.0,20.0,9.0
373,38.0323,95.1528,5.0,22.0,8.0
374,50.5255,112.772,4.0,22.0,7.0
375,18.875,75.8773,10.0,21.0,9.0
376,11.1715,120.6541,2.0,16.0,9.0
377,43.3867,123.2889,4.0,17.0,6.0
378,16.2564,96.6182,6.0,24.0,9.0
379,29.6036,126.7707,3.0,15.0,7.0
380,39.0201,79.1417,3.0,19.0,8.0
381,30.2219,115.3465,5.0,21.0,6.0
382,33.6308,126.9394,4.0,24.0,9.0
383,18.0435,109.8337,5.0,22.0,8.0
384,46.1249,85.3925,7.0,19.0,5.0
385,30.8437,74.1733,1.0,25.0,6.0
386,24.0662,132.6116,5.0,29.0,8.0
387,6.0535,102.1664,5.0,20.0,7.0
388,8.0979,96.5542,8.0,28.0,9.0
389,21.3068,118.9709,10.0,24.0,7.0
390,48.9088,96.5253,10.0,20.0,9.0
391,28.693,121.1211,4.0,19.0,8.0
392,29.2442,74.6912,9.0,17.0,9.0
393,33.9545,128.469,9.0,29.0,7.0
394,43.7381,89.6906,4.0,15.0,9.0
395,26.4964,91.6926,6.0,20.0,5.0
396,42.5346,95.3533,8.0,19.0,6.0
397,4.4617,109.8334,6.0,16.0,6.0
398,15.9525,85.1712,10.0,25.0,7.0
399,6.6886,86.0143,3.0,16.0,5.0
400,25.0827,122.1215,4.0,16.0,5.0
401,34.9999,93.3858,2.0,22.0,6.0
402,13.1158,97.2606,9.0,18.0,9.0
403,10.6164,118.5746,1.0,27.0,6.0
404,3.26,120.5782,9.0,24.0,7.0
405,33.5955,109.2606,2.0,22.0,8.0
406,15.6512,87.1167,5.0,20.0,8.0
407,51.6,88.6852,3.0,18.0,6.0
408,37.4735,81.8221,9.0,27.0,7.0
409,45.7353,131.8517,8.0,26.0,7.0
410,18.7097,96.5939,1.0,26.0,5.0
411,35.4342,85.6001,4.0,22.0,9.0
412,4.7828,124.5756,5.0,26.0,9.0
413,51.3519,74.5888,7.0,22.0,8.0
414,47.5454,105.4027,2.0,23.0,6.0
415,45.9082,132.301,2.0,17.0,9.0
416,34.5524,124.7064,3.0,29.0,7.0
417,45.9896,99.8192,2.0,18.0,6.0
418,41.1,117.3735,7.0,19.0,8.0
419,44.4939,94.3505,9.0,28.0,9.0
420,44.4113,101.5365,8.0,16.0,6.0
421,41.7075,122.1035,2.0,20.0,5.0
422,36.0167,77.1325,5.0,25.0,8.0
423,11.6941,124.7592,9.0,18.0,8.0
424,29.0025,121.8882,8.0,16.0,5.0
425,10.5675,89.1241,4.0,27.0,7.0
426,28.1162,77.0979,4.0,19.0,5.0
427,10.772,118.6901,5.0,24.0,6.0
428,5.07,76.3542,4.0,18.0,9.0
429,37.6562,76.7618,10.0,23.0,9.0
430,51.3612,82.3307,7.0,17.0,5.0
431,3.6712,93.8662,3.0,16.0,5.0
432,28.2707,73.0682,1.0,27.0,8.0
433,32.6018,119.6261,10.0,24.0,6.0
434,23.619,86.9217,8.0,27.0,7.0
435,26.2074,109.3098,8.0,18.0,5.0
436,7.4327,114.9701,7.0,28.0,9.0
437,20.3406,127.2806,4.0,18.0,9.0
438,43.3836,112.795,5.0,24.0,6.0
439,5.0132,85.4151,9.0,23.0,9.0
440,48.8011,100.2159,4.0,19.0,5.0
441,39.7598,94.1295,3.0,26.0,6.0
442,23.413,79.9713,8.0,16.0,6.0
443,43.2956,77.8758,10.0,29.0,6.0
444,37.368,107.5758,7.0,26.0,9.0
445,40.4565,109.7677,9.0,21.0,7.0
446,15.8615,76.7972,7.0,19.0,8.0
447,34.7527,97.8655,8.0,25.0,7.0
448,52.7327,81.6101,7.0,27.0,5.0
449,37.5742,108.2243,10.0,19.0,7.0
450,50.95,86.1284,1.0,18.0,6.0
451,19.9879,112.3047,8.0,21.0,6.0
452,9.12,127.1946,6.0,18.0,8.0
453,20.2487,121.1216,6.0,21.0,8.0
454,22.5743,94.2409,4.0,20.0,8.0
455,30.193,117.9604,7.0,26.0,9.0
456,11.1029,93.5895,3.0,15.0,7.0
457,4.9212,122.3274,8.0,15.0,9.0
458,51.9988,73.5405,5.0,21.0,5.0
459,7.5705,129.1722,6.0,16.0,7.0
460,47.4729,81.7033,7.0,24.0,5.0
461,33.2493,122.3633,7.0,23.0,8.0
462,32.521,125.446,2.0,22.0,5.0
463,41.9621,124.2932,4.0,25.0,9.0
464,29.1425,119.3957,5.0,22.0,5.0
465,22.124,128.3381,4.0,19.0,5.0
466,33.3828,110.1746,6.0,19.0,6.0
467,3.8502,113.6406,4.0,29.0,9.0
468,13.7851,87.9891,2.0,20.0,8.0
469,8.2938,102.2208,9.0,20.0,8.0
470,14.8262,87.4075,8.0,17.0,9.0
471,8.8098,111.1991,2.0,22.0,8.0
472,37.1342,102.9369,3.0,21.0,5.0
473,51.5422,107.4912,6.0,19.0,8.0
474,8.095,126.2954,4.0,27.0,9.0
475,16.6516,96.5515,3.0,25.0,6.0
476,47.7733,107.8311,3.0,24.0,7.0
477,21.3765,101.1533,4.0,19.0,5.0
478,22.0176,85.56,2.0,18.0,7.0
479,38.8377,123.2151,5.0,19.0,6.0
480,29.5512,84.8307,9.0,23.0,6.0
481,20.4134,97.2459,7.0,19.0,8.0
482,39.1836,127.3102,9.0,16.0,7.0
483,8.1082,126.3896,4.0,29.0,8.0
484,28.0811,88.5974,2.0,17.0,7.0
485,47.6283,112.8699,10.0,18.0,7.0
486,24.8058,79.8314,6.0,22.0,7.0
487,37.9144,73.7512,8.0,18.0,9.0
488,51.1716,84.1303,10.0,24.0,6.0
489,26.7592,80.4119,5.0,25.0,6.0
490,44.3464,124.1925,4.0,22.0,5.0
491,16.5533,73.6654,4.0,29.0,7.0
492,37.1884,82.5657,8.0,27.0,5.0
493,33.4908,97.0945,5.0,23.0,9.0
494,7.4822,112.2821,7.0,17.0,9.0
495,18.8058,111.8637,3.0,29.0,5.0
496,41.4518,130.0382,5.0,15.0,5.0
497,32.1453,110.6693,8.0,21.0,5.0
498,37.3599,74.1012,5.0,27.0,5.0
499,43.2002,93.3007,3.0,22.0,9.0
500,6.6804,107.5111,9.0,28.0,7.0
501,11.6113,113.2226,3.0,24.0,9.0
502,34.1669,77.4023,1.0,28.0,9.0
503,39.6566,80.9735,10.0,26.0,6.0
504,52.0997,129.6617,9.0,20.0,6.0
505,6.5645,122.9964,10.0,16.0,7.0
506,51.8885,83.3943,5.0,16.0,6.0
507,12.6925,75.6831,5.0,22.0,9.0
508,48.6265,131.3952,6.0,24.0,5.0
509,33.6914,80.3046,9.0,28.0,5.0
510,36.5556,108.9892,6.0,16.0,9.0
511,9.4624,86.2697,9.0,22.0,7.0
512,19.9476,106.1606,2.0,16.0,7.0
513,25.505,130.8853,1.0,24.0,7.0
514,37.4207,111.9731,8.0,28.0,9.0
515,3.437,91.9274,10.0,17.0,7.0
516,50.4773,129.4253,4.0,15.0,5.0
517,21.8976,78.9092,8.0,16.0,6.0
518,51.6345,103.9511,3.0,28.0,8.0
519,20.9926,125.3653,3.0,18.0,5.0
520,35.4536,100.3735,4.0,20.0,6.0
521,4.078,116.8991,9.0,18.0,5.0
522,43.6895,75.0667,9.0,29.0,5.0
523,22.9265,105.0036,3.0,16.0,8.0
524,20.5807,123.9332,7.0,19.0,6.0
525,11.6281,116.3003,9.0,17.0,8.0
526,9.7993,79.0477,6.0,16.0,6.0
527,27.6661,106.8781,8.0,25.0,5.0
528,35.315,124.4618,8.0,15.0,7.0
529,49.9122,106.3895,5.0,26.0,7.0
530,44.323,119.9235,9.0,23.0,7.0
531,43.0093,81.2398,1.0,17.0,7.0
532,17.9945,107.0114,7.0,24.0,7.0
533,38.6498,130.9476,8.0,26.0,7.0
534,44.6947,123.38,8.0,29.0,9.0
535,27.6958,121.116,1.0,27.0,8.0
536,33.8036,131.5202,9.0,25.0,8.0
537,20.6963,106.4451,8.0,24.0,6.0
538,20.7996,98.4192,10.0,17.0,7.0
539,6.9722,86.4428,5.0,23.0,8.0
540,51.6225,121.5512,8.0,19.0,8.0
541,52.3396,123.7187,10.0,23.0,7.0
542,52.9126,90.3598,6.0,20.0,8.0
543,19.2277,126.2796,1.0,27.0,8.0
544,10.7788,93.6348,4.0,23.0,7.0
545,23.5121,113.2794,4.0,21.0,7.0
546,16.4935,88.5954,10.0,16.0,5.0
547,43.3442,114.1426,9.0,28.0,8.0
548,28.4308,130.8361,8.0,18.0,8.0
549,6.3331,75.94,10.0,22.0,7.0
550,12.5725,95.1543,1.0,26.0,6.0
551,34.4268,89.0864,6.0,26.0,6.0
552,18.7734,95.7534,6.0,15.0,7.0
553,39.9164,83.349,3.0,20.0,8.0
554,34.9421,131.2567,3.0,16.0,5.0
555,12.5821,81.6285,9.0,27.0,8.0
556,21.0621,82.9862,4.0,15.0,7.0
557,48.0316,102.1202,8.0,26.0,7.0
558,29.9389,128.6882,3.0,22.0,6.0
559,9.4696,126.9303,5.0,25.0,7.0
560,47.7089,114.1121,2.0,25.0,5.0
561,14.0253,90.9326,5.0,26.0,7.0
562,27.2364,98.2799,5.0,17.0,5.0
563,10.4516,91.9945,3.0,24.0,8.0
564,15.6496,97.0584,4.0,29.0,7.0
565,38.5353,99.8554,8.0,28.0,7.0
566,17.6402,98.196,8.0,20.0,7.0
567,36.802,99.1316,5.0,28.0,9.0
568,33.0878,116.647,6.0,19.0,5.0
569,8.8723,119.5728,8.0,21.0,9.0
570,43.6409,88.9106,3.0,15.0,5.0
571,27.6602,116.9414,10.0,18.0,7.0
572,41.6458,98.7281,8.0,17.0,8.0
573,6.2398,74.6091,2.0,26.0,8.0
574,38.6753,96.822,6.0,24.0,5.0
575,29.2771,78.8559,8.0,29.0,8.0
576,49.7246,73.9877,7.0,28.0,6.0
577,4.3814,98.091,10.0,19.0,7.0
578,50.1842,86.0591,10.0,22.0,6.0
579,11.6478,106.0607,8.0,23.0,9.0
580,7.5313,75.5119,8.0,26.0,7.0
581,23.7891,109.2907,6.0,27.0,6.0
582,22.7803,119.9323,5.0,22.0,9.0
583,40.8227,105.1659,9.0,28.0,8.0
584,35.3306,117.589,1.0,18.0,8.0
585,27.7927,126.9425,7.0,21.0,7.0
