task_id,start_time,end_time,window_length
51,2013-04-20 13:03:17,2013-04-20 13:06:18,181.5
51,2013-04-20 17:59:16,2013-04-20 18:02:42,206.6
52,2013-04-20 01:09:20,2013-04-20 01:09:32,11.6
53,2013-04-20 01:59:24,2013-04-20 02:02:22,178.7
53,2013-04-20 03:37:01,2013-04-20 03:37:33,32.2
53,2013-04-20 06:54:37,2013-04-20 06:58:18,220.5
53,2013-04-20 08:32:42,2013-04-20 08:36:25,222.6
54,2013-04-20 08:00:06,2013-04-20 08:02:51,165.0
54,2013-04-20 19:53:05,2013-04-20 19:56:42,217.0
55,2013-04-20 03:03:10,2013-04-20 03:03:17,7.4
55,2013-04-20 18:30:50,2013-04-20 18:32:01,71.1
56,2013-04-20 10:31:10,2013-04-20 10:33:50,160.0
56,2013-04-20 20:32:25,2013-04-20 20:35:03,158.8
57,2013-04-20 09:38:41,2013-04-20 09:42:05,204.0
57,2013-04-20 21:24:09,2013-04-20 21:24:21,12.0
59,2013-04-20 03:14:35,2013-04-20 03:18:14,218.8
60,2013-04-20 01:44:40,2013-04-20 01:47:37,176.8
61,2013-04-20 09:47:11,2013-04-20 09:50:05,174.1
61,2013-04-20 18:04:44,2013-04-20 18:08:38,234.8
62,2013-04-20 16:09:23,2013-04-20 16:12:32,189.6
62,2013-04-20 22:44:40,2013-04-20 22:45:44,63.2
63,2013-04-20 12:55:34,2013-04-20 12:58:29,175.4
64,2013-04-20 15:18:00,2013-04-20 15:21:49,228.3
65,2013-04-20 04:23:30,2013-04-20 04:26:44,193.7
65,2013-04-20 09:19:23,2013-04-20 09:22:03,160.3
66,2013-04-20 08:20:02,2013-04-20 08:20:04,2.5
66,2013-04-20 09:54:05,2013-04-20 09:57:50,225.0
66,2013-04-20 14:50:46,2013-04-20 14:53:48,182.2
67,2013-04-20 01:29:22,2013-04-20 01:32:28,185.3
67,2013-04-20 16:55:24,2013-04-20 16:58:58,213.8
70,2013-04-20 06:33:34,2013-04-20 06:36:22,167.8
70,2013-04-20 16:36:36,2013-04-20 16:39:13,157.3
71,2013-04-20 17:26:17,2013-04-20 17:29:26,189.5
72,2013-04-20 06:14:49,2013-04-20 06:18:24,214.5
72,2013-04-20 21:40:07,2013-04-20 21:42:52,164.7
73,2013-04-20 09:54:09,2013-04-20 09:54:16,6.1
73,2013-04-20 11:28:10,2013-04-20 11:29:48,97.6
73,2013-04-20 16:25:05,2013-04-20 16:28:50,224.9
74,2013-04-20 02:23:48,2013-04-20 02:26:28,160.3
74,2013-04-20 16:02:22,2013-04-20 16:05:11,168.3
75,2013-04-20 00:06:51,2013-04-20 00:09:45,174.0
75,2013-04-20 11:59:40,2013-04-20 12:02:36,176.7
76,2013-04-20 21:29:30,2013-04-20 21:32:49,198.8
77,2013-04-20 11:28:57,2013-04-20 11:29:17,20.3
77,2013-04-20 13:03:17,2013-04-20 13:07:14,237.1
77,2013-04-20 18:00:08,2013-04-20 18:03:26,197.1
78,2013-04-20 15:58:45,2013-04-20 16:01:24,158.7
79,2013-04-20 02:21:05,2013-04-20 02:23:50,165.4
80,2013-04-20 06:34:42,2013-04-20 06:37:36,173.8
80,2013-04-20 16:35:04,2013-04-20 16:37:57,173.1
81,2013-04-20 05:52:10,2013-04-20 05:55:48,218.5
81,2013-04-20 14:07:15,2013-04-20 14:10:16,181.4
83,2013-04-20 16:51:03,2013-04-20 16:52:43,100.2
84,2013-04-20 01:09:01,2013-04-20 01:12:46,224.1
85,2013-04-20 14:06:30,2013-04-20 14:10:12,221.9
86,2013-04-20 06:39:19,2013-04-20 06:42:23,184.5
86,2013-04-20 14:56:39,2013-04-20 14:59:34,174.3
87,2013-04-20 04:50:06,2013-04-20 04:52:43,157.1
88,2013-04-20 18:20:57,2013-04-20 18:23:33,155.3
89,2013-04-20 06:15:14,2013-04-20 06:18:32,198.4
89,2013-04-20 21:39:47,2013-04-20 21:42:43,176.6
90,2013-04-20 01:49:26,2013-04-20 01:52:26,180.2
90,2013-04-20 11:52:32,2013-04-20 11:55:10,158.0
91,2013-04-20 05:24:58,2013-04-20 05:28:10,192.3
91,2013-04-20 22:30:34,2013-04-20 22:33:59,205.2
93,2013-04-20 07:25:56,2013-04-20 07:29:29,213.5
93,2013-04-20 15:42:23,2013-04-20 15:45:05,162.2
94,2013-04-20 20:29:36,2013-04-20 20:33:13,217.5
95,2013-04-20 13:44:45,2013-04-20 13:48:02,197.0
95,2013-04-20 22:01:29,2013-04-20 22:04:20,171.1
96,2013-04-20 08:59:21,2013-04-20 09:02:58,217.3
96,2013-04-20 17:19:10,2013-04-20 17:22:46,216.1
98,2013-04-20 12:15:01,2013-04-20 12:18:02,180.4
98,2013-04-20 13:52:42,2013-04-20 13:53:17,35.2
98,2013-04-20 17:10:11,2013-04-20 17:13:56,225.3
98,2013-04-20 18:48:27,2013-04-20 18:51:56,208.8
99,2013-04-20 21:36:02,2013-04-20 21:39:11,189.5
